ticker,besst,div_medio_5a,anos_pagando_10a,anos_consecutivos,cortes_10a,cagr_5a,preco,pl,preco_teto,margem_teto,dy_medio_5a,score
CMIG4,Energia,1.2578,10,10,3,0.5674,10.27,6.07297025604636,20.96,1.0409,0.1225,99.28
BBAS3,Bancos,1.6966,10,10,3,0.0988,18.29,8.249887235002255,28.28,0.5462,0.0928,91.02
TAEE11,Energia,3.8069,10,10,3,0.0011,37.97,,63.45,0.6711,0.1003,85.07
BMGB4,Bancos,0.3893,7,7,2,0.2517,4.91,4.916391308701312,6.49,0.3218,0.0793,82.32
ABCB4,Bancos,1.6683,9,9,3,0.3307,22.69,5.458525789068515,27.81,0.2257,0.0735,80.62
BBDC3,Bancos,1.0145,10,10,3,0.247,14.63,6.372506315881175,16.91,0.1558,0.0693,76.81
BBSE3,Seguros,2.6728,9,9,3,0.0059,37.21,7.921403329501427,44.55,0.1973,0.0718,76.66
TIMS3,Telecom,1.28,9,9,2,0.3552,18.04,10.010543255091282,21.33,0.1824,0.071,74.06
BBDC4,Bancos,1.116,10,10,4,0.247,16.63,7.243662339925081,18.6,0.1185,0.0671,73.18
WIZC3,Seguros,0.4909,10,10,6,-0.0327,7.5,6.044000322346684,8.18,0.0907,0.0655,71.71
ISAE4,Energia,2.0187,9,1,3,0.1167,25.74,6.020489310941666,33.64,0.3069,0.0784,66.43
SANB11,Bancos,2.0463,9,9,3,-0.0773,29.71,,34.11,0.1481,0.0689,64.59
EGIE3,Energia,1.7333,10,10,4,0.0175,28.31,8.167681255589855,28.89,0.0205,0.0612,64.56
ITSA4,Bancos,0.736,10,10,2,0.2847,12.45,8.209693372898121,12.27,-0.0145,0.0591,62.64
ITUB4,Bancos,1.8775,10,10,2,0.3106,38.3,9.458892099478895,31.29,-0.183,0.049,59.28
SAPR4,Saneamento,0.3081,9,9,3,0.1652,6.32,7.8015059869151955,5.14,-0.1867,0.0488,57.82
VIVT3,Telecom,1.4634,10,10,4,-0.0482,29.43,14.273243125272806,24.39,-0.1713,0.0497,56.25
PSSA3,Seguros,1.5581,10,10,4,0.1404,46.74,8.211669214146418,25.97,-0.4444,0.0333,56.19
ENGI11,Energia,2.2202,10,10,2,0.4311,44.03,,37.0,-0.1597,0.0504,52.61
AURE3,Energia,0.7114,4,4,2,0.0,10.28,,11.86,0.1537,0.0692,52.55
CSMG3,Saneamento,1.8555,10,10,5,-0.0391,56.42,15.78446732318711,30.93,-0.4518,0.0329,51.03
FIQE3,Telecom,0.2669,5,5,0,0.0,4.79,8.132427843803056,4.45,-0.071,0.0557,49.34
SBSP3,Saneamento,0.4076,9,9,2,0.362,24.29,9.728842071534425,6.79,-0.7205,0.0168,48.54
ALUP11,Energia,1.23,9,9,3,0.1603,31.28,,20.5,-0.3446,0.0393,47.33
SAPR11,Saneamento,1.5125,8,8,3,0.1652,32.26,,25.21,-0.2185,0.0469,46.72
EQTL3,Energia,0.9033,10,10,3,0.4953,34.76,28.17769130998703,15.06,-0.5667,0.026,46.5
CXSE3,Seguros,0.8492,5,5,0,0.0,18.12,12.018306029050873,14.15,-0.2191,0.0469,44.54
BPAC11,Bancos,0.8168,9,9,1,0.3578,49.73,,13.61,-0.7263,0.0164,41.61
CPFE3,Energia,1.9659,7,0,3,0.0,42.91,8.579083111742008,32.76,-0.2365,0.0458,34.07
DESK3,Telecom,0.043,4,4,0,0.0,18.78,40.11106364801367,0.72,-0.9617,0.0023,25.57
ELET3,Energia,0.0,0,0,0,0.0,50.08,11.446595506388425,0.0,-1.0,0.0,20.7
IRBR3,Seguros,0.0,4,0,2,0.0,49.68,11.58906410376038,0.0,-1.0,0.0,20.61
ENEV3,Energia,0.0,0,0,0,0.0,24.39,36.22994652406417,0.0,-1.0,0.0,15.0
ORVR3,Saneamento,0.0,0,0,0,0.0,16.13,72.07327971403038,0.0,-1.0,0.0,15.0
CPLE6,Energia,0.0,0,0,0,0.0,,,0.0,,,
ELET6,Energia,0.0,0,0,0,0.0,,,0.0,,,
NEOE3,Energia,0.0,0,0,0,0.0,,,0.0,,,
AESB3,Energia,0.0,0,0,0,0.0,,,0.0,,,
